customer_id,first_name,last_name,email,phone_number,account_type,join_date
12200103,Adam,Ayers,xbrown@example.com,765-444-4221x63676,Savings,2023-10-12
12201000,Scott,Hunter,dnielsen@example.net,001-769-647-6925x112,Credit,2025-09-19
12253341,Erica,Mcguire,yjarvis@example.com,001-549-602-5887x786,Credit,2025-05-15
12270929,Kevin,Johnson,johnsonjulia@example.com,8026306449,Checking,2025-04-20
12286708,Wanda,Baker,huangmargaret@example.org,9746384459,Savings,2022-09-17
12370862,Ruben,Harvey,lisagray@example.org,8196729119,Savings,2021-08-25
12373066,Lawrence,Dyer,hpalmer@example.org,8135524252,Savings,2024-06-14
12737602,Jessica,Smith,lucascindy@example.com,253-749-8954x5562,Checking,2023-04-23
12742292,Richard,Huang,donna43@example.com,001-262-568-4790x864,Credit,2025-11-23
12752675,Dominique,Griffin,pamelalong@example.net,599.258.6115x067,Savings,2022-11-08
12828644,Nathan,Martin,davidmason@example.org,3969651939,Savings,2021-06-02
12872178,Jackie,Davis,butlerthomas@example.com,922.269.9052,Savings,2023-06-28
13139240,Anita,Hayes,johnaguirre@example.org,(860)761-2296x317,Credit,2022-11-19
13234873,Guy,Reyes,taylor93@example.com,001-950-549-0872,Credit,2026-04-18
13444893,Gabriel,Perez,stephanie21@example.com,227-570-9541,Checking,2021-10-08
13652298,Julia,Cooke,vday@example.com,5945232121,Savings,2022-01-27
13774750,Justin,Houston,opotts@example.com,244.332.9564x40093,Credit,2022-09-20
13795505,Angela,Rice,jackson22@example.org,001-571-538-7317x601,Credit,2022-03-31
13813000,Jennifer,Joyce,hsnow@example.org,4745804135,Savings,2023-06-12
13899262,Andrew,Walsh,dsharp@example.org,6376055726,Savings,2025-11-09
13929017,Nicholas,Valentine,elizabeth40@example.net,5577481395,Savings,2025-12-04
13931337,Joseph,Jones,erobinson@example.net,001-939-593-3661x114,Credit,2025-03-08
13950850,Amber,Jones,amanda38@example.org,(755)705-0961x5963,Checking,2022-11-24
14072982,Angela,Hancock,charlesmendoza@example.net,9212265773,Savings,2026-01-12
14125035,Christopher,Mccullough,cassandra36@example.org,776.764.8563x6016,Checking,2024-02-22
14131099,Ivan,Nelson,jonathandillon@example.net,+1-548-460-3736x7120,Checking,2022-05-16
14354981,Cheryl,Warner,collinsshane@example.com,001-761-486-6789,Credit,2024-07-24
14419797,Ebony,Day,nmartin@example.org,862-996-5806x981,Savings,2025-09-15
14559583,Stephanie,Hunt,mpalmer@example.org,+1-443-843-9940,Savings,2025-05-04
14691408,Brandy,Fitzpatrick,zwarren@example.com,421-779-9946x49435,Checking,2021-10-25
14788360,William,Jones,hernandezerin@example.org,(620)612-8740,Credit,2025-11-09
14911525,Dean,Khan,edward48@example.com,001-729-413-1376x373,Checking,2021-09-21
15128025,Leah,Macdonald,bmaxwell@example.net,605.624.0030,Credit,2024-06-12
15184180,Christina,Gentry,mallory99@example.net,(788)315-8928x95281,Checking,2023-07-21
15221157,Jennifer,Santiago,geoffrey48@example.net,001-983-462-2210x332,Savings,2023-04-24
15340780,Jennifer,Hamilton,ybaker@example.net,8378213430,Credit,2024-07-07
15423609,Stefanie,Ruiz,lisaclark@example.com,+1-410-290-8284x8995,Checking,2022-02-03
15464256,Molly,Keller,bsmith@example.com,001-926-472-4404x607,Savings,2025-11-08
15492354,Alexis,Tyler,brittneyeaton@example.org,630.374.0369x6307,Credit,2021-05-19
15609494,Christina,Williams,myersmelinda@example.org,358.840.9168,Savings,2021-07-15
15639698,Denise,Howard,meyersgregory@example.com,(665)502-0966,Credit,2023-06-07
15685370,Donna,Choi,mayopamela@example.com,(550)715-2277x055,Credit,2024-09-10
15806512,Cassidy,Chase,gwashington@example.net,001-892-586-9954x843,Credit,2022-04-29
16017957,David,Baker,brandon57@example.org,+1-211-683-9213,Checking,2026-03-06
16197059,Hannah,Mcclure,aaustin@example.net,001-896-743-6304x812,Credit,2024-05-18
16234805,Dwayne,Peterson,holly93@example.net,001-465-935-7288x401,Credit,2022-03-26
16292473,Jerry,Douglas,michealacosta@example.com,001-437-496-8106,Savings,2022-11-28
16317838,Rebecca,Camacho,hscott@example.org,5289552985,Savings,2023-11-24
16318529,Tyler,Owens,clarkgregory@example.org,+1-783-667-8535,Credit,2022-05-19
16380364,Craig,Johnson,adrianmartinez@example.org,832-611-3757x08736,Savings,2024-08-24
16416131,Ryan,Murphy,davisrachel@example.net,488.454.4426,Credit,2025-12-24
16430786,Jessica,Stein,kweber@example.com,978-240-1500,Checking,2022-01-07
16535981,Tina,Parker,john58@example.com,390-292-9053x666,Credit,2023-02-09
16770012,Heidi,Taylor,scottruiz@example.com,215.838.5877x2410,Credit,2023-04-22
16790204,Patricia,Benton,lance71@example.org,001-292-314-6946x086,Credit,2024-01-01
17013253,Timothy,Thomas,fanderson@example.org,370-518-4694,Checking,2021-08-04
17127845,Olivia,Booth,wayne89@example.com,001-947-443-1053x634,Checking,2025-12-14
17206803,Jessica,Anderson,joshuatorres@example.net,001-570-217-6608x177,Savings,2024-08-21
17297170,Edward,Anderson,singhchelsea@example.org,860-247-6852x932,Savings,2024-09-23
17535353,Chad,Garrison,laurasanchez@example.com,527.968.2873x635,Checking,2023-04-30
17555900,Tammy,Olsen,ewilliams@example.com,5406244235,Savings,2022-07-19
17565999,Tyler,Jackson,teresa11@example.com,676.947.8346x5180,Savings,2022-06-05
17600365,William,Burnett,zschwartz@example.net,001-896-569-3386x081,Checking,2022-01-28
17605486,Alexander,Ortega,wshort@example.org,+1-567-945-9421x6330,Credit,2025-11-19
17632881,Haley,Ford,ndaniel@example.net,(822)816-6490,Savings,2024-03-01
17667433,Tiffany,Evans,leslieewing@example.org,001-542-873-4781x570,Credit,2022-02-12
17678988,Paul,Powell,lisastark@example.com,3246625719,Savings,2021-09-01
17838367,David,Neal,vcarter@example.net,001-934-976-3892x427,Credit,2024-09-07
17873173,Heather,Young,jacksonjames@example.org,001-359-684-2791x992,Savings,2022-06-12
18206001,Roberta,Fitzpatrick,amanda46@example.com,240-854-5876x056,Savings,2024-05-21
18308464,David,Garner,georgesoto@example.net,+1-488-642-3777,Credit,2024-10-14
18470748,Amanda,Meyer,christopher71@example.org,(373)557-8771x075,Savings,2021-04-26
18495731,Emily,Hogan,tony80@example.org,(628)475-4380,Checking,2025-03-21
18845807,Lisa,Bishop,deborahcarpenter@example.com,9306658634,Checking,2026-03-19
18899614,Steven,Dominguez,gregory07@example.com,507.330.5739x2041,Checking,2026-04-19
18911079,Terrance,Thomas,williamsmakayla@example.net,224.679.0245x6406,Credit,2022-09-11
18919742,Emily,Herring,romerodaniel@example.net,370.447.5115x21512,Credit,2024-12-12
18945074,Mary,Morgan,romanjacob@example.org,2739367918,Credit,2024-10-05
19088289,Rachel,Hamilton,gbridges@example.net,(808)373-4967x3403,Checking,2023-01-03
19176344,Joseph,Lee,fpowell@example.org,558-982-4415,Credit,2025-04-18
19195468,Jeff,Gomez,kevans@example.com,5918634132,Checking,2026-02-27
19235727,Stephanie,Lynn,laura87@example.com,800-280-2876x9342,Checking,2021-07-25
19413135,Tyler,Matthews,greencheryl@example.com,2597647144,Savings,2022-02-03
19433669,Michael,West,tina76@example.com,617.427.0280x03629,Savings,2023-05-25
19652126,Shelly,Ramirez,nathaniel25@example.org,789.418.7863x4186,Checking,2026-04-14
19799642,Christopher,Yates,osbornejose@example.com,(847)432-1855x078,Credit,2022-01-02
19893824,John,Werner,loganmicheal@example.org,+1-550-471-2150x239,Checking,2022-03-29
19926977,Peter,Rogers,njones@example.org,001-871-705-1430x885,Savings,2022-09-13
20060405,Sierra,Garcia,kevin00@example.com,001-912-695-0442x731,Credit,2025-10-10
20075330,Cindy,Cummings,fmcdonald@example.net,+1-200-449-6076x0046,Savings,2022-08-11
20141297,Heather,Burns,rosecarmen@example.com,(505)954-9376x584,Credit,2025-07-10
20155777,Lisa,Blackwell,bhawkins@example.net,001-576-951-8969x859,Checking,2025-10-16
20274875,David,Franklin,bperez@example.com,+1-896-234-1964,Credit,2024-05-29
20553104,Rachel,Powell,gmeyer@example.net,347-354-6748,Savings,2023-11-07
20638880,Kyle,Lewis,alexandrapotter@example.net,289-926-5483x7695,Credit,2022-05-03
20663494,Shelby,Graves,brennanchristopher@example.com,384-747-7908,Checking,2023-06-20
20849112,Jeffrey,Brown,luis97@example.com,407.863.1693x25147,Checking,2022-05-02
20897971,Sonya,Patterson,cooperryan@example.org,(505)810-3601,Checking,2022-11-22
20990966,Colton,Schultz,ywright@example.com,(975)796-8212x546,Credit,2025-01-25
21002157,Jeffrey,Fernandez,nicole62@example.net,(446)480-5374,Checking,2022-10-30
21254562,Olivia,Hanna,wreynolds@example.com,948-810-2526x30224,Credit,2025-04-23
21370373,Scott,Williams,ihatfield@example.net,604-569-5613x376,Checking,2022-03-06
21410862,Christopher,Stevens,xtaylor@example.org,355.463.3338,Savings,2023-02-03
21507890,Benjamin,Peterson,taranicholson@example.org,(231)491-6846x29678,Credit,2022-12-24
21532765,Hannah,Wong,lnguyen@example.com,3763169285,Checking,2025-04-26
21572856,Randall,Alvarez,toddperez@example.net,481-281-6143,Checking,2023-11-21
21667183,Kathleen,Rangel,katherinemcneil@example.com,+1-703-552-4037x4003,Savings,2024-05-14
21698619,Mary,Griffith,zsnyder@example.org,(349)599-7368x347,Credit,2025-09-27
21708412,Stephanie,Gregory,cindy11@example.com,(398)779-4438,Credit,2021-06-19
21756202,Eric,Morris,cordovapeter@example.net,349.816.8250,Savings,2021-10-12
21813069,Jared,Harvey,lauren06@example.com,+1-547-811-7462,Savings,2021-12-18
21863658,Aaron,Wong,ericksonkim@example.com,982-389-8827x0293,Checking,2023-07-19
21921670,Colton,Gonzalez,thomas92@example.net,+1-979-961-0986,Checking,2023-06-12
22017789,Ashley,Taylor,james51@example.net,(458)315-4580,Checking,2025-02-10
22071166,Janet,Johnson,elizabethrussell@example.com,(706)854-9311x59667,Checking,2024-10-16
22914010,Jose,Good,mpowell@example.org,698.555.3866,Savings,2024-08-26
23007472,Travis,Benitez,hillpaige@example.net,+1-556-482-3146,Credit,2022-11-27
23058283,Katie,Johnson,courtneyfowler@example.com,894.819.8965x956,Checking,2023-12-22
23073893,Anthony,Mcmahon,krodriguez@example.net,+1-878-921-7538x5076,Credit,2024-04-10
23163999,Benjamin,Kirby,dvilla@example.org,875-681-2612x25207,Credit,2025-10-05
23351407,Tina,Griffin,jacksonstephanie@example.org,(513)654-6921x1498,Checking,2025-09-17
23475281,Robin,Lynch,taradelacruz@example.net,3372605492,Checking,2023-11-27
23487333,Christian,Edwards,caleb76@example.com,999-915-1605x92194,Credit,2021-09-26
23545802,Laura,Wright,kaylacampbell@example.org,(621)208-8207x1150,Credit,2024-01-11
23578489,Jamie,Robinson,lreeves@example.net,859-869-0327,Savings,2023-11-29
23585239,Nicholas,Moore,april36@example.org,4874560907,Checking,2024-10-31
23673713,Lori,Pitts,schultzaaron@example.net,880-277-6559x10501,Savings,2024-01-24
23760159,Jessica,Ray,danajones@example.net,001-770-877-2446x696,Checking,2025-09-17
23770933,Megan,Mcguire,elliottpeter@example.net,+1-901-401-9150x017,Savings,2023-11-25
23824743,Amanda,Sexton,cguerrero@example.org,+1-588-764-3149x9751,Savings,2024-06-30
24038795,Yesenia,Flores,michaelwagner@example.net,931.469.0236,Checking,2024-09-10
24161318,Michelle,Yu,harrisonemily@example.org,001-838-642-8380x189,Checking,2025-04-12
24211214,Edward,Perez,maria71@example.com,551-941-7926x17153,Savings,2026-01-17
24329352,Makayla,Powell,marvin87@example.org,001-385-644-3796,Savings,2021-08-02
24556338,Mark,Price,williamskevin@example.net,+1-569-203-6625x7202,Checking,2023-02-20
24705991,Brian,Carpenter,oyoung@example.net,+1-846-270-7514x051,Savings,2024-01-17
24799279,Carrie,Peterson,amy66@example.com,512-520-6259x836,Credit,2022-02-11
24889204,Christopher,Torres,jacobsjoshua@example.net,9575006023,Checking,2026-04-18
24945325,Theodore,Hayes,christopher49@example.net,522.585.7989,Credit,2025-02-10
24984935,James,Stephens,kingnicholas@example.net,490.225.2779x118,Checking,2023-06-17
25121571,Shawn,Williams,johnross@example.org,(668)976-7462x95680,Credit,2025-09-22
25233043,Courtney,May,brittney70@example.org,821-217-4886,Credit,2022-10-06
25272303,Courtney,Reed,pearsonchristopher@example.org,(378)565-8644x354,Savings,2021-10-29
25287168,Karen,Carroll,scott24@example.com,(401)319-2355,Credit,2025-04-26
25297647,Joseph,Camacho,richardjohnson@example.com,322.360.9227,Savings,2026-03-20
25435609,Linda,Smith,rhart@example.net,+1-635-941-2036,Checking,2022-10-08
25445222,Craig,Ford,michael92@example.com,(745)651-9585x041,Savings,2023-04-03
25594057,Jorge,Cooper,pattymason@example.org,001-975-612-6859x100,Savings,2023-07-26
25595903,Evan,Carter,samanthayoung@example.org,(750)519-3122x5122,Savings,2025-11-04
25607882,Lauren,Adams,youngvictoria@example.com,482-898-9993x41425,Savings,2024-04-30
25634600,John,Webb,iwhite@example.net,6836934511,Savings,2024-01-29
25764166,Adam,Clark,fjohnson@example.net,001-564-459-6100x384,Checking,2022-08-23
25788943,Claire,Perkins,jordantaylor@example.net,001-739-693-4143x289,Savings,2023-05-12
25793556,Christopher,Lindsey,rlong@example.org,856-366-3218,Credit,2025-11-14
25803764,Zachary,Lopez,rachelschultz@example.com,(563)293-8315x255,Savings,2026-01-09
25836678,Mark,Harper,robertnewton@example.com,647-669-4131x27191,Checking,2023-07-03
26014002,Joshua,Bell,nwalker@example.org,664.604.9673x264,Credit,2025-05-10
26030109,Kenneth,Castillo,shelleygross@example.com,412.726.9684,Savings,2026-03-22
26196468,Angela,Wagner,michaelallen@example.org,(322)409-8257,Credit,2023-07-05
26225605,Jonathan,Chan,sheila59@example.org,208.748.2209,Savings,2024-03-16
26247811,Rodney,Wood,jerrygarcia@example.net,395.811.3451,Checking,2025-09-07
26251774,Greg,Gomez,valenzuelasarah@example.org,907.397.9339,Checking,2024-02-10
26307151,Christopher,Holden,wmeyer@example.org,(603)363-8779x743,Credit,2022-02-02
26474496,Kristi,Gutierrez,william77@example.com,449-740-7902,Credit,2022-02-03
26489049,Sean,Copeland,zachary59@example.net,605.523.4845,Checking,2025-07-02
26543670,John,Jackson,kristindunn@example.net,+1-443-936-6417x8878,Savings,2022-02-08
26546142,Alan,Jones,rosserik@example.org,587-204-5351x0832,Savings,2024-10-12
26895803,Russell,Perez,cwallace@example.net,545.683.7962x6862,Credit,2023-01-21
27142861,Betty,Little,ijones@example.org,8638431427,Savings,2024-12-06
27160062,Joseph,Hernandez,michellelee@example.net,+1-926-947-6081,Checking,2023-06-17
27327860,Robert,Garcia,fhaynes@example.org,(944)429-8416,Checking,2022-04-14
27339239,Danielle,Rosario,villegasryan@example.net,001-379-990-8516x205,Savings,2023-10-08
27646662,Hannah,Bush,joshualang@example.net,781.379.4781,Credit,2023-03-11
27695789,James,Lee,aaronthomas@example.com,(483)233-0937x524,Checking,2025-03-11
27832757,Jason,Dunn,jford@example.org,001-741-497-0369x775,Savings,2023-10-08
27858981,Jennifer,Evans,scottkimberly@example.net,001-353-873-6536x374,Credit,2021-05-26
27887645,Michelle,Reid,michaelfisher@example.net,(821)648-2063x4273,Credit,2024-02-22
27923986,Kenneth,Butler,shelbyrobinson@example.net,341.297.6707x0689,Savings,2023-01-16
27924337,Jesse,Perez,nfischer@example.org,001-659-377-3630x139,Checking,2024-09-16
28010279,Brittney,Kennedy,jburton@example.org,272-951-5893,Savings,2024-03-05
28145053,Andrea,Vazquez,deanna85@example.com,+1-725-526-0338x6300,Savings,2026-01-05
28182932,Judy,Rivera,vcarroll@example.net,249-533-9221,Credit,2022-09-09
28281497,Anita,Brown,nicholsbecky@example.org,001-486-468-3012x029,Checking,2026-03-10
28289414,James,Gilmore,donnaward@example.com,001-593-262-2223,Credit,2026-02-18
28310380,Matthew,Lewis,yolanda85@example.net,957.519.6067x4490,Savings,2026-02-24
28357321,Robert,Baker,vlewis@example.net,329.211.8282,Checking,2025-09-30
28428800,Christopher,Richard,kathryn32@example.com,521.987.9534x161,Credit,2023-08-09
28435695,Tina,Little,davidrichards@example.net,8447066511,Savings,2023-07-06
28800218,Toni,Hernandez,yjohnson@example.org,(614)898-4153x85295,Savings,2023-08-20
28831819,Charles,Walters,christopherflores@example.com,+1-891-996-5785x4195,Checking,2024-04-04
28931766,Brandi,Orozco,jonesjonathan@example.com,001-470-616-4347x579,Savings,2024-11-05
28999849,Shawn,Berry,johnwood@example.org,836-490-8527x206,Checking,2023-07-22
29103149,Deborah,Gonzalez,bushbrittney@example.net,(873)479-4855x469,Checking,2025-07-20
29247756,Austin,Mckenzie,chasethomas@example.com,(464)862-9273x9443,Credit,2024-06-12
29282987,Lauren,Mercer,bevans@example.com,001-300-786-5774x777,Credit,2024-04-11
29540946,David,Kennedy,pstanley@example.org,+1-235-986-3982x612,Savings,2024-10-17
29759798,Veronica,Hernandez,lori37@example.com,850-301-6666,Savings,2024-12-13
29781886,Christine,Patel,jean52@example.net,329-521-1866x315,Checking,2022-08-12
29872521,Miranda,Carr,marvin82@example.net,(736)239-5667,Credit,2024-11-04
29942011,Patricia,Powers,pamela32@example.com,241.602.6999x99158,Savings,2025-01-13
30131523,Alan,Bailey,patrickcrawford@example.org,+1-387-280-3433x127,Credit,2022-06-19
30160720,Tanya,Mccoy,hernandezfrancisco@example.org,001-538-276-5427x086,Checking,2021-05-17
30356029,Bethany,Trevino,rebecca79@example.net,(579)306-5237,Checking,2023-05-18
30541397,Peggy,Henry,tarasanchez@example.net,351-499-9044x3809,Savings,2021-11-01
30615612,Michael,Harris,dscott@example.net,830.470.0287x84170,Savings,2025-12-18
30679543,Sharon,Black,collinselizabeth@example.net,001-253-694-4457x275,Checking,2022-03-08
30857654,Nancy,Rodriguez,susan76@example.com,+1-377-917-3043x2555,Savings,2024-09-18
30894123,Louis,Schultz,robinsoneugene@example.org,+1-770-811-2665x468,Savings,2021-06-06
30994976,Daniel,Campos,jonesmichael@example.net,001-898-765-2547x589,Credit,2025-02-04
31124354,Tammy,Poole,brittanymiller@example.org,(661)540-3457x41533,Credit,2025-06-26
31135584,Jeremy,Garcia,rcampbell@example.net,673-215-8200x4457,Credit,2024-11-04
31148379,Emily,Frank,janicewiggins@example.org,+1-735-579-9630,Savings,2024-08-21
31162202,Robert,Lewis,cmiller@example.org,2005774387,Credit,2024-06-23
31469227,John,Brown,nashwalter@example.com,330-399-8589,Savings,2025-08-14
31471114,Susan,Wright,galvarez@example.org,(831)910-8338x15304,Credit,2025-01-18
31479543,Ricardo,Mays,erinwilson@example.net,276-950-1758x731,Checking,2025-06-27
31699353,Dawn,Watson,omar49@example.com,001-694-229-3866x433,Credit,2025-06-05
31785135,Julia,Wade,michellewalker@example.net,+1-955-882-3434x4829,Credit,2021-05-16
31842254,Rebecca,Tapia,ysmith@example.com,001-331-833-0502x707,Checking,2023-01-26
32019279,Anita,Woods,derrickhansen@example.net,211-411-1466,Credit,2024-10-02
32194175,Amanda,Mccoy,jackiehall@example.com,(884)861-1529x81831,Checking,2022-09-17
32289518,Judy,Cameron,daniel55@example.com,(433)351-1082x020,Checking,2023-07-12
32334593,Carlos,Pennington,wmata@example.net,(798)316-6315,Checking,2021-10-09
32460798,Mary,Hanson,catherine15@example.net,607-506-1947,Savings,2024-12-27
32498813,Alexis,Potter,ebony73@example.com,484-708-8608x6981,Checking,2023-02-04
32503747,Angel,Ruiz,corygonzales@example.org,791-677-1950,Savings,2021-11-13
32609657,Carolyn,House,jonessabrina@example.com,001-840-867-7523,Savings,2026-04-12
32611963,Justin,Green,betty22@example.org,9032071033,Checking,2022-06-04
32785816,Justin,Tyler,olivia27@example.com,955.274.2711,Checking,2022-02-08
32916022,Ashley,Salazar,malvarado@example.com,001-687-694-7679x431,Credit,2023-01-10
32965266,Ricky,Cox,spencerbill@example.net,356-806-8334x5697,Checking,2022-04-29
32976377,Chelsey,Valdez,christopheralexander@example.org,654-828-3971x0214,Savings,2022-03-24
33066343,Shirley,Torres,sjennings@example.net,577.837.9004,Savings,2022-04-02
33148296,William,Ryan,pcollins@example.org,742-781-7079,Credit,2025-10-19
33185557,Clinton,Navarro,schmidtbrian@example.com,5649699866,Credit,2026-04-15
33188751,Robert,Hamilton,vcox@example.com,600.608.6136,Checking,2025-09-01
33235768,Melinda,Sellers,perezmathew@example.org,+1-829-358-5926,Checking,2022-03-08
33273131,Anthony,Tucker,carrillojulie@example.com,+1-356-879-6655x1462,Savings,2021-06-24
33277227,Anne,Hernandez,justincarter@example.org,(752)418-2685x1140,Checking,2023-09-05
33299487,Christopher,Lopez,daughertymichelle@example.com,355-316-1665x352,Savings,2021-10-16
33662145,Keith,Kim,cathymyers@example.com,421-271-7407x6976,Savings,2025-05-27
33677015,Katherine,Moore,robinsonjoseph@example.net,760-705-0093x81715,Checking,2021-10-19
33712618,Amanda,Dorsey,desireemendez@example.org,920.362.9038x6585,Credit,2025-06-11
33750767,Joseph,Johnson,jesse11@example.com,3198747405,Checking,2022-06-05
33783863,Lorraine,Barker,david20@example.net,683.242.5152,Credit,2025-06-07
33841434,Miguel,Black,ydeleon@example.org,001-892-937-5408x607,Credit,2022-08-23
33888207,Sara,Johnson,douglasgreen@example.com,532-939-0263x85196,Checking,2025-12-30
33921384,Scott,Dunlap,megan25@example.org,782-455-7123x093,Credit,2026-02-04
34046672,Brad,White,adavidson@example.org,001-620-517-6724x284,Credit,2025-05-04
34170859,James,Patton,robinsonscott@example.org,215.532.4860x5780,Savings,2024-04-19
34191366,Ashley,Thompson,sheliastone@example.org,+1-560-686-8437,Credit,2026-02-27
34299851,Marissa,Olson,scottklein@example.net,(712)311-4249x8700,Savings,2024-06-14
34369565,Andre,Murphy,ngutierrez@example.net,(578)801-9145x964,Credit,2021-08-13
34456156,Carolyn,Preston,brianmueller@example.org,639.313.0139x45259,Savings,2024-12-04
34552088,Robert,Hebert,charlesnelson@example.org,473-590-2789x053,Checking,2023-11-10
34641485,Michael,Jackson,rachelmcmahon@example.net,468-696-0771,Savings,2023-06-18
35142732,Courtney,Wheeler,mary90@example.org,209-751-2707,Credit,2022-11-30
35168038,Heather,Snow,burnscarol@example.com,001-539-965-7268x479,Savings,2025-09-01
35426330,Jeffrey,Price,townsendclaudia@example.net,+1-861-892-4578x9021,Savings,2025-04-29
35433266,Anthony,Smith,sjohnston@example.org,3486052867,Credit,2023-08-31
35772839,Diana,Molina,ryandaniel@example.com,(781)337-5865,Credit,2022-09-06
35786926,Matthew,Garcia,jessica54@example.net,247-619-1998x5526,Credit,2024-03-02
35879666,Katelyn,Armstrong,jonathan30@example.org,9396851180,Checking,2022-10-16
35967205,Juan,Bell,njones@example.net,(221)907-3697x3733,Savings,2025-08-08
36004705,Christine,Humphrey,marvinflores@example.net,481.923.7895,Savings,2026-04-09
36007630,Anne,Lopez,sloanjulie@example.net,(255)849-5120x27625,Credit,2024-07-18
36169006,Michael,Carpenter,hannahwheeler@example.com,001-488-943-7640x591,Credit,2025-10-29
36178440,Pamela,Baker,blambert@example.org,001-529-563-6510,Checking,2025-09-30
36198082,Melissa,Weaver,robert47@example.com,608.581.3935x9756,Savings,2024-01-30
36329410,Lori,Houston,michellehines@example.net,001-227-762-6087,Savings,2024-01-02
36360167,Nicholas,Cain,joseph24@example.org,849-695-4110x75195,Credit,2023-12-09
36362281,Richard,Gomez,uchristensen@example.net,(609)463-7036,Checking,2023-08-27
36455904,Manuel,Ball,david51@example.com,741-732-5124x128,Savings,2025-10-28
36666565,Amanda,Young,xjohnson@example.com,(888)411-9246x190,Checking,2021-05-07
36701857,William,Knight,stephanie56@example.com,001-931-561-0621x422,Checking,2025-02-14
36725912,Felicia,Valdez,shawnmendoza@example.org,+1-884-743-1672x181,Savings,2024-11-28
36731616,Courtney,Sims,jessica12@example.org,+1-449-415-8650x743,Savings,2024-12-26
36859233,Christopher,Kramer,knightmathew@example.com,9316926561,Credit,2024-02-09
37111130,Troy,Evans,carrilloeric@example.com,6354529748,Credit,2023-09-14
37122600,Angela,Christensen,lisastevens@example.com,(685)831-4101,Checking,2022-10-21
37195050,Melissa,Brewer,powelljeffrey@example.net,001-672-279-2678x680,Savings,2023-03-21
37208468,Scott,Butler,sherri80@example.com,529.211.4415,Credit,2022-05-10
37230764,Troy,Wise,hallen@example.net,001-626-891-8659x436,Checking,2021-12-17
37334918,Carl,Flores,shawn21@example.com,278-662-1098x5755,Credit,2026-02-17
37415833,Laura,Williams,joseph66@example.org,5765064259,Savings,2022-01-03
37472632,Krista,Howell,johnstonmitchell@example.net,001-615-664-7241x305,Credit,2025-12-21
37491334,Dennis,Phillips,oobrien@example.com,(437)958-6905x6342,Checking,2025-01-31
37662726,Amber,Saunders,pattonrachel@example.com,+1-617-609-9437x4522,Credit,2024-10-22
37760488,David,Mcconnell,cweaver@example.net,(528)539-4183x9593,Savings,2023-02-26
37922386,William,Green,usmith@example.org,001-743-297-8776x372,Savings,2022-12-08
37971432,Charlene,Le,kim45@example.net,(947)989-5070x015,Checking,2024-05-29
